,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600588.SH,20200624,42.3,44.1,42.02,43.7,42.56,1.14,2.6786,274677.74,1183198.938
1,600588.SH,20200623,40.0,43.43,39.26,42.56,40.02,2.54,6.3468,357814.98,1478534.418
2,600588.SH,20200622,39.85,40.35,39.41,40.02,39.23,0.79,2.0138,228545.77,913071.851
3,600588.SH,20200619,39.32,39.67,38.79,39.23,39.32,-0.09,-0.2289,223900.69,878092.869
4,600588.SH,20200618,38.02,39.94,37.8,39.32,38.21,1.11,2.905,311165.01,1209190.026
5,600588.SH,20200617,37.49,38.66,36.91,38.21,37.06,1.15,3.1031,280546.13,1066106.562
6,600588.SH,20200616,37.06,37.31,36.31,37.06,36.53,0.53,1.4509,215398.07,794130.26
7,600588.SH,20200615,35.99,37.5,35.89,36.53,35.72,0.81,2.2676,293029.6,1081592.552
8,600588.SH,20200612,35.5,36.93,35.26,35.72,36.32,-0.6,-1.652,279981.7,1014906.879
9,600588.SH,20200611,35.82,36.95,35.4,36.32,35.79,0.53,1.4809,244078.85,884937.007
10,600588.SH,20200610,35.4,35.86,34.96,35.79,35.42,0.37,1.0446,171318.02,606227.324
11,600588.SH,20200609,35.27,35.5,34.74,35.42,35.08,0.34,0.9692,134363.96,473785.348
12,600588.SH,20200608,35.99,36.06,35.0,35.08,35.86,-0.78,-2.1751,184004.87,650288.357
13,600588.SH,20200605,35.62,36.01,35.45,35.86,35.5,0.36,1.0141,123700.22,441738.087
14,600588.SH,20200604,36.29,36.39,35.24,35.5,36.26,-0.76,-2.096,162958.84,580873.84
15,600588.SH,20200603,37.06,37.07,36.01,36.26,36.75,-0.49,-1.3333,179627.9,654421.461
16,600588.SH,20200602,36.76,37.46,36.59,36.75,36.76,-0.01,-0.0272,150222.15,554918.56
17,600588.SH,20200601,35.5,37.06,35.5,36.76,34.9,1.86,5.3295,292160.9,1069846.621
18,600588.SH,20200529,34.49,35.79,34.25,34.9,34.71,0.19,0.5474,186412.69,655952.946
19,600588.SH,20200528,35.35,35.35,34.13,34.71,35.18,-0.47,-1.336,207681.46,718507.188
20,600588.SH,20200527,36.54,36.62,35.0,35.18,36.4,-1.22,-3.3516,194610.89,691391.808
21,600588.SH,20200526,35.9,36.75,35.86,36.4,35.36,1.04,2.9412,153094.96,556707.366
22,600588.SH,20200525,36.3,36.5,35.1,35.36,36.3,-0.94,-2.5895,171808.02,611038.718
23,600588.SH,20200522,37.86,38.18,36.16,36.3,37.86,-1.56,-4.1204,227407.11,837276.757
24,600588.SH,20200521,37.61,38.85,37.23,37.86,36.69,1.17,3.1889,379337.52,1447175.685
25,600588.SH,20200520,38.54,38.69,36.5,36.69,38.88,-2.19,-5.6327,320277.12,1199815.662
26,600588.SH,20200519,38.19,40.28,38.16,38.88,37.65,1.23,3.2669,200340.4,782278.172
27,600588.SH,20200518,50.03,50.58,48.25,49.2,49.38,-0.18,-0.3645,191423.13,952093.87
28,600588.SH,20200515,48.53,50.2,47.36,49.38,48.15,1.23,2.5545,276532.38,1353694.214
29,600588.SH,20200514,46.88,49.1,46.7,48.15,47.0,1.15,2.4468,234149.63,1125990.809
30,600588.SH,20200513,46.68,47.68,46.11,47.0,46.7,0.3,0.6424,147843.03,695707.378
31,600588.SH,20200512,46.85,47.3,45.86,46.7,47.1,-0.4,-0.8493,139640.43,649305.378
32,600588.SH,20200511,48.0,48.2,46.2,47.1,47.36,-0.26,-0.549,170478.78,806350.003
33,600588.SH,20200508,47.22,48.65,47.21,47.36,46.62,0.74,1.5873,194122.3,927749.155
34,600588.SH,20200507,48.3,48.31,46.28,46.62,47.59,-0.97,-2.0382,189504.55,891216.425
35,600588.SH,20200506,46.15,47.88,45.88,47.59,46.4,1.19,2.5647,230587.72,1082044.991
36,600588.SH,20200430,43.29,47.55,43.0,46.4,44.49,1.91,4.2931,375878.07,1725240.884
37,600588.SH,20200429,44.0,45.21,43.9,44.49,43.9,0.59,1.344,155383.39,695252.089
38,600588.SH,20200428,43.7,44.44,41.9,43.9,43.64,0.26,0.5958,157856.45,687515.703
39,600588.SH,20200427,43.31,44.28,42.65,43.64,43.3,0.34,0.7852,129326.49,562929.989
40,600588.SH,20200424,44.3,44.82,43.14,43.3,44.3,-1.0,-2.2573,116696.78,510874.396
41,600588.SH,20200423,45.52,45.52,44.21,44.3,45.3,-1.0,-2.2075,110067.5,491287.994
